text,sentiment,timestamp
Average service.,Neutral,2025-08-15 16:20:00
Too crowded.,Negative,2025-08-15 16:25:00
Loved the vegan options!,Positive,2025-08-15 16:30:00
Food was bland.,Negative,2025-08-15 16:35:00
Staff was friendly.,Positive,2025-08-15 16:40:00
Decor was unique.,Neutral,2025-08-15 16:45:00
Amazing flavors and quick service.,Positive,2025-08-16 12:00:00
Food was too oily.,Negative,2025-08-16 12:10:00
Ambiance was peaceful.,Neutral,2025-08-16 12:20:00
Staff was inattentive.,Negative,2025-08-16 12:30:00
Loved the dessert menu!,Positive,2025-08-16 12:40:00
Average experience overall.,Neutral,2025-08-16 12:50:00
Soup was perfect.,Positive,2025-08-16 13:00:00
Music was distracting.,Negative,2025-08-16 13:10:00
Clean environment.,Positive,2025-08-16 13:20:00
Decor was modern.,Neutral,2025-08-16 13:30:00
Food was underseasoned.,Negative,2025-08-16 13:40:00
Great staff!,Positive,2025-08-16 13:50:00
Average food.,Neutral,2025-08-16 14:00:00
Service was disappointing.,Negative,2025-08-16 14:10:00
Friendly atmosphere.,Positive,2025-08-16 14:20:00
Ambiance was average.,Neutral,2025-08-16 14:30:00
Food was cold.,Negative,2025-08-16 14:40:00
Loved the spicy ramen!,Positive,2025-08-16 14:50:00
Service was slow.,Negative,2025-08-16 15:00:00
Nice lighting.,Neutral,2025-08-16 15:10:00
Portions were small.,Negative,2025-08-16 15:20:00
Great value!,Positive,2025-08-16 15:30:00
Average service.,Neutral,2025-08-16 15:40:00
Food was burnt.,Negative,2025-08-16 15:50:00
Loved the ambiance!,Positive,2025-08-16 16:00:00
Tables were dirty.,Negative,2025-08-16 16:10:00
Great for groups!,Positive,2025-08-16 16:20:00
Average taste.,Neutral,2025-08-16 16:30:00
Staff was rude.,Negative,2025-08-16 16:40:00
Nice decor.,Neutral,2025-08-16 16:50:00
Food was too salty.,Negative,2025-08-16 17:00:00
Staff was attentive.,Positive,2025-08-16 17:10:00
Average meal.,Neutral,2025-08-16 17:20:00
Loved the noodles!,Positive,2025-08-16 17:30:00
Long wait time.,Negative,2025-08-16 17:40:00
Clean restrooms.,Positive,2025-08-16 17:50:00
Music was relaxing.,Neutral,2025-08-16 18:00:00
Food was bland.,Negative,2025-08-16 18:10:00
Great desserts!,Positive,2025-08-16 18:20:00
Ambiance was dull.,Negative,2025-08-16 18:30:00
Nice presentation.,Positive,2025-08-16 18:40:00
Average service.,Neutral,2025-08-16 18:50:00
Too crowded.,Negative,2025-08-16 19:00:00
Loved the vegan options!,Positive,2025-08-16 19:10:00
Food was bland.,Negative,2025-08-16 19:20:00
Staff was friendly.,Positive,2025-08-16 19:30:00
Decor was unique.,Neutral,2025-08-16 19:40:00
Excellent service and tasty food.,Positive,2025-08-17 12:00:00
Food was too sweet.,Negative,2025-08-17 12:10:00
Ambiance was lively.,Neutral,2025-08-17 12:20:00
Staff was slow.,Negative,2025-08-17 12:30:00
Loved the appetizers!,Positive,2025-08-17 12:40:00
Average experience.,Neutral,2025-08-17 12:50:00
Soup was flavorful.,Positive,2025-08-17 13:00:00
Music was too loud.,Negative,2025-08-17 13:10:00
Clean floors.,Positive,2025-08-17 13:20:00
Decor was outdated.,Neutral,2025-08-17 13:30:00
Food was bland.,Negative,2025-08-17 13:40:00
Great staff!,Positive,2025-08-17 13:50:00
Average food.,Neutral,2025-08-17 14:00:00
Service was poor.,Negative,2025-08-17 14:10:00
Friendly environment.,Positive,2025-08-17 14:20:00
Ambiance was nice.,Neutral,2025-08-17 14:30:00
Food was cold.,Negative,2025-08-17 14:40:00
Loved the spicy soup!,Positive,2025-08-17 14:50:00
Service was slow.,Negative,2025-08-17 15:00:00
Nice lighting.,Neutral,2025-08-17 15:10:00
Portions were small.,Negative,2025-08-17 15:20:00
Great value!,Positive,2025-08-17 15:30:00
Average service.,Neutral,2025-08-17 15:40:00
Food was burnt.,Negative,2025-08-17 15:50:00
Loved the ambiance!,Positive,2025-08-17 16:00:00
Tables were dirty.,Negative,2025-08-17 16:10:00
Great for families!,Positive,2025-08-17 16:20:00
Average taste.,Neutral,2025-08-17 16:30:00
Staff was rude.,Negative,2025-08-17 16:40:00
Nice decor.,Neutral,2025-08-17 16:50:00
Food was too salty.,Negative,2025-08-17 17:00:00
Staff was attentive.,Positive,2025-08-17 17:10:00
Average meal.,Neutral,2025-08-17 17:20:00
Loved the noodles!,Positive,2025-08-17 17:30:00
Long wait time.,Negative,2025-08-17 17:40:00
Clean restrooms.,Positive,2025-08-17 17:50:00
Music was relaxing.,Neutral,2025-08-17 18:00:00
Food was bland.,Negative,2025-08-17 18:10:00
Great desserts!,Positive,2025-08-17 18:20:00
Ambiance was dull.,Negative,2025-08-17 18:30:00
Nice presentation.,Positive,2025-08-17 18:40:00
Average service.,Neutral,2025-08-17 18:50:00
Too crowded.,Negative,2025-08-17 19:00:00
Loved the vegan options!,Positive,2025-08-17 19:10:00
Food was bland.,Negative,2025-08-17 19:20:00
Staff was friendly.,Positive,2025-08-17 19:30:00
Decor was unique.,Neutral,2025-08-17 19:40:00
